"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"ARL14"	1	0	0	0	0	2	0	0	0	0	0	1	6	0	0	0	3	0
"ARL14EP"	480	1294	756	790	837	634	343	1353	644	222	773	441	534	1656	1440	437	832	620
"ARL14EPL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
"ARL15"	134	448	82	372	615	417	170	603	62	479	818	432	284	273	84	371	672	388
"ARL16"	164	400	186	155	404	321	216	581	109	69	344	254	115	522	183	91	500	291
"ARL17"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"ARL17A"	333	431	253	374	512	694.76	366	658	352	134	411	361.6	437	1046	416	390.47	547	819
"ARL2"	98.01	1756.95	1122.36	641.49	1450.58	1273.53	97.25	1523.49	939.28	357.65	1442.02	872.97	190.04	1292.17	1526.31	592.54	1481.6	1129.2
"ARL2-SNX15"	240.99	549.05	287.64	200.51	723.42	502.47	155.75	693.51	196.72	146.35	494.98	365.03	218.96	1088.83	334.69	177.46	732.4	520.8
"ARL2BP"	717	2219	852	1304	1536	2338	549	2307	534	607	1452	1478	904	2850	1230	984	1685	2382
"ARL3"	222	1549	132	388	899	491	118	1776	64	137	698	266	208	2168	120	216	793	399
"ARL4A"	179	1454	84	338	176	922	104	2002	75	286	449	780	300	975	169	477	240	360
"ARL4C"	116	2400	32	54	128	1068	143	3184	23	116	260	544	276	3049	41	125	196	1075
"ARL4D"	1100	473	18	59	596	297	402	441	25	95	477	245	545	325	36	114	655	309
"ARL5A"	1693	2217	3428	2445	2952	3073	1404	1936	1733	1024	2573	1783	1735	4682	5144	1400	3454	2989
"ARL5B"	1063	1017	354	464	584	942	751	1033	289	384	623	639	1095	1795	397	374	696	983
"ARL5C"	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
"ARL6"	51	660	34	94	253	298	47	699	43	55	296	295	46	466	65	59	295	263
"ARL6IP1"	13235	20042	777	1156	7173	7478	5974	19473	519	973	10600	2885	10601	23996	1117	1530	6750	7885
"ARL6IP4"	3165	1832	2668	1005	2214	1899	1465	2198	1426	511	1636	1151	1751	2416	3026	757	2437	1803
"ARL6IP5"	1337	6337	6274	5173	1841	6137	724	5899	3527	1405	3011	3456	2036	5755	7470	2548	3589	5526
"ARL6IP6"	112	196	162	104	176	529	68	168	106	106	322	297	148	313	197	134	180	485
"ARL8A"	322	1438	354	316	486	843	314	1800	251	228	486	441	402	1580	488	238	551	972
"ARL8B"	1373	7277	2253	2304	2519	3789	1108	7052	1847	849	3143	1622	1784	6850	4163	1440	2952	4371
"ARL9"	0	10	0	1	0	0	4	24	0	1	2	2	1	9	0	0	1	0
"ARMC1"	1254	2510	1100	1071	1378	1110	828	2297	887	434	1211	743	987	3266	1549	581	1470	1181
"ARMC10"	869	1451	373	484	1102	1260	422	1520	265	329	996	646	889	1229	509	476	1364	1246
"ARMC12"	0	13	1	0	0	2	0	6	2	0	3	6	3	11	0	0	1	1
"ARMC2"	18	385	14	97	130	367	6	488	11	52	130	145	30	444	27	118	116	156
"ARMC3"	0	20	0	1	37	735	0	54	0	1	32	29	0	6	0	0	73	205
"ARMC4"	4	18	1	2	1	561.93	0	30	2	0	1.02	29	35	46	2	7	8.19	135.87
"ARMC5"	632	489	144	49	227	312	791	619	136	55	220	168	529	520	143	90	264	337
"ARMC6"	2034	748	419	245	523	659	2163	1030	414	156	807	327	1068	1014	438	242	592	562
"ARMC7"	96	115	44	54	192	311	98	245	28	55	333	170	93	320	27	54	223	213
"ARMC8"	738	2577	2752	1253	1586	1900	777	3031	1654	626	1811	1279	949	8372	3424	879	1666	1760
"ARMC9"	43	487	17	55	389	526	63	769	30	71	546	375	85	426	27	71	507	380
"ARMCX1"	80	1246	629	833	589	840	23	1536	431	415	725	876	193	1638	926	488	704	923
"ARMCX2"	96	1911	235	831	1296	1349	54	2452	138	391	2093	996	253	1332	289	522	1793	941
"ARMCX3"	909	4990	1189	2461	2442	2680	645	6038	834	938	3396	2299	1357	4138	1894	1545	2730	2411
"ARMCX4"	78	718	43	132	180	300	194	1675	65	188	351	363	142	754	145	173	222	241
"ARMCX5"	321	674.7	326	216	588	493.61	271	839.21	235	172.71	774.88	338	286.43	526	352	141	616.53	598
"ARMCX5-GPRASP2"	285.99	1043.67	152.57	274.63	424.85	226.32	109.37	1625.85	147.45	136.54	195.09	150.5	192.54	810.67	205.21	235.43	321.67	247.16
"ARMCX6"	129	338	221	361	555	851	106	320	66	158	763	615	209	503	316	236	607	731
"ARMS2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARNT"	2968	1234	1738	1631	2204	3178	1730	1241	1414	932	2165	2372	2668	2623	2494	1418	2162	3554
"ARNT2"	32	17070	620	303	3268	911	25	32691	801	128	5780	764	29	7846	1105	329	2889	600
"ARNTL"	1004	1216	213	126	343	442	457	1726	115	132	440	205	222	1488	286	104	289	639
"ARNTL2"	83	1144	10	105	74	362	223	1860	4	53	107	283	404	626	13	53	88	239
"ARPC1A"	1456	2485	645	1817.18	1526.12	1887.11	1075	3091.23	558	569	1729	1472.28	1456.1	2579.56	721	1112	1644.38	1901
"ARPC1B"	597	173	109	279.82	450.88	5070.89	281	239.77	83	480	1065	1727.72	631.9	159.44	128	492	725.62	4279
"ARPC2"	1542	2773	3536	1723	2503	8463	722	3695	3055	1175	2731	3240	1580	2582	5726	1425	2632	8241
"ARPC3"	1784	2750	663	1162	2863	6056	675	2829	503	675	2470	2128	1652	2201	1058	844	3131	5936
"ARPC4"	1214.88	2925.41	757.04	729	3025	4267.1	889	3359.34	567.45	704.43	2052.41	1641.82	1195.06	1973.68	1147.23	860.52	2948.86	3869.63
"ARPC4-TTLL3"	1.12	14.94	8.61	0	0	9.81	0	25.46	4.33	22.47	10.16	13.34	5.93	20.89	5.6	2.67	1.26	20.93
"ARPC5"	1583	2374	359	1136	2030	10861	1205	2331	242	1150	1941	4736	2065	2510	500	1401	2564	10367
"ARPC5L"	342	951	321	347	322	490	284	1392	358	129	420	259	286	835	590	177	392	531
"ARPP19"	3152	27342	6202	6355	9074	9723	3151	25814	5640	2813	7375	6025	3865	16039	9999	4344	9487	10575
"ARPP21"	4	4006	846	0	66	2	8	7104	2495	0	6	4	91	5098	2677	1	37	3
"ARR3"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ARRB1"	412	7714	241	916	900	7370	627	13334	214	636	1085	4172	1097	9295	331	980	908	6049
"ARRB2"	361	785	92	123	194	1702	216	1292	74	106	126	542	348	967	130	191	282	1604
"ARRDC1"	470	160	95	64	404	873	439	325	43	71	397	567	311	210	91	120	431	712
"ARRDC2"	240	1179	4949	167	230	1982	161	894	1811	216	319	2317	427	616	2627	292	508	1525
"ARRDC3"	4036	2071	3379	1852	8975	8587	4532	2300	2067	1720	6068	6849	3991	5815	3828	1345	6273	10693
"ARRDC3-AS1"	1	11	2	22	13	57	3	18	9	11	28	53	1	7	5	20	3	34
"ARRDC4"	410	1228	1327	545	1472	3633	1313	1118	1274	561	2025	1204	1108	877	1432	761	2522	2046
"ARRDC5"	0	0	0	0	0	11	0	11	0	1	3	7	5	0	0	5	1	10
"ARSA"	877	466	59	165	574	1362	321	617	47	112	344	494	1128	714	125	350	780	778
"ARSB"	530	717	227	548	2246	1865	642	774	379	350	1079	584	621	832	642	588	2217	1365
"ARSD"	3746	360	55	189	4618	1835	3039	257	48	150	7483	599	2361	331	76	248	4240	1705
"ARSE"	946	15	6	4	440	20	1083	37	1	2	264	6	1449	25	0	14	1014	18
"ARSF"	14	59	0	0	498	1	23	54	0	0	2	6	21	24	0	0	367	1
"ARSG"	78	228	48	67	140	184	169	359	54	53	179	127	70	983	126	80	196	102
"ARSH"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ARSI"	12	20	4	7	27	215	52	38	4	38	9	142	33	17	2	25	71	199
"ARSJ"	96	164	17	37	426	424	68	146	21	97	392	340	201	1188	16	79	554	443
"ARSK"	171	285	138	235	380	294	103	283	130	72	586	250	270	564	207	88	431	254
"ART1"	4	2	613	14	3	11	0	2	338	1	1	2	0	5	335	6	7	13
"ART3"	0	135	5989	1476	3	2	2	194	3238	206	2	1	1	102	10929	569	9	2
"ART4"	700	0	0	62	20	185	681	0	0	62	1	104	1340	0	20	221	42	54
"ART5"	3	0	134	27	7	12	0	4	74	3	4	2	1	2	156	10	28	6
"ARTN"	0	1	2	2	16	21	0	13	0	10	9	7	3	8	0	3	11	6
"ARV1"	312	534	258	337	534	363	184	514	203	100	629	166	240	655	461	175	471	387
"ARVCF"	363	454	339	269	296	464	506	886	211	228	230	202	398	3711	250	249	510	268
"ARX"	0	235	123	0	0	20	0	301	112	0	0	0	0	0	129	0	0	10
"AS3MT"	971	183	250	1000	550	135	593	214.79	366.09	152	410	153	1275.51	682	236	353	626	194
"ASAH1"	1698	3118	3625	17290	11109	18463	723	2853	2337	3424	10481	4527	2205	6311	4545	9545	14013	19539
"ASAH2"	76.33	18.94	5.72	3.25	41.69	13.92	38.72	20.64	5.57	0	14.14	3.57	27.69	7.91	8.56	1.25	35.58	3.27
"ASAH2B"	53.67	126.06	30.28	22.75	59.31	17.08	29.28	119.36	18.43	9	42.86	23.43	41.31	25.09	25.44	11.75	62.42	39.73
"ASAP1"	407	2678	353	1109	545	3054	295	4510	356	1351	1079	2313	1134	1515	444	1524	720	3159
"ASAP1-IT1"	6	8	0	16	4	46	32	48	5	12	13	38	14	10	10	13	13	31
"ASAP2"	245	1779	216	708	3441	1388	164	2141	163	1351	4319	1372	357	3201	304	1352	3773	1311
"ASAP3"	266	470	755	574	958	930	466	684	1542	524	1004	953	479	546	2546	879	1012	1183
"ASB1"	147	2087	1198	1477	875	734	264	3010	1205	642	856	538	199	1954	1076	1245	989	543
"ASB10"	0	0	864	242	2	0	0	0	813	85	0	0	0	0	915	214	0	0
"ASB11"	0	0	4329	1745	0	5	0	3	3727	317	0	2	1	3	6340	1066	0	1
"ASB12"	0	1.18	675.74	34.2	0	3	0	0	490.04	4	1	0.9	0	0.4	861.88	13.88	0	1.08
"ASB13"	1539	1033	263	171	1846	567	1781	1101	271	177	992	201	1210	1339	393	194	2275	369
"ASB14"	0	0	1286	456	0	41	0	0	856	46	1	0	0	0	2521	256	0	4
"ASB15"	0	0	1540	1476	75	0	0	0	1561	75	3	0	0	2	1642	313	60	0
"ASB16"	0	10	225	89	10	3	0	6	441	42	7	0	0	83	350	91	13	0
"ASB16-AS1"	29.09	17	4	7	64.07	104.14	55.41	45.33	21.41	17.51	48	19.44	23.08	51.33	13.28	28.12	56.81	77.78
"ASB17"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	14	0
"ASB18"	0	0	19	5	0	0	0	0	15	21	0	0	0	0	26	6	0	0
"ASB2"	4	209	15063	2806	11	136	2	275	11087	1107	13	82	17	9	15048	1985	19	74
"ASB3"	207	1202	224	260	371	615	203	1402.23	105	138	529	563	254	1521	204	196	434	614
"ASB4"	79	65	2059	245	1	27	6	55	921	13	0	10	50	57	1636	91	12	5
"ASB5"	0	23	14676	101	25	8	0	32	6203	10	25	4	1	56	20640	39	34	6
"ASB6"	167	1024	256	183	752	656	208	1604	177	155	926	491	205	1268	224	219	723	510
"ASB7"	615	739	262	340	920	794	563	813	235	171	956	546	665	1229	382	266	1008	709
"ASB8"	917	1433	5848	1596	1274	1071	605	1498	4189	373	1208	504	735	1850	6769	945	1382	858
"ASB9"	668	6	15	15	549	131	172	9	5	33	113	131	103	4	7	46	323	92
"ASB9P1"	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	2	0
"ASCC1"	572	802	606	657	567	615	302	748	382	198	941	581	471	1243	642	367	625	572
"ASCC2"	1282	368	552	373	985	1272	1097	413	833	320	758	942	950	474	1063	419	1013	1188
"ASCC3"	2498	2055	1147	1906	1762	3258	2003	2009	963	1275	2692	2613	2945	3669	1703	1648	1985	3295
"ASCL1"	2	343	0	0	0	21	3	208	0	0	0	8	106	294	0	0	0	94
"ASCL2"	14	1	0	0	11	36	8	18	0	0	15	4	11	3	0	0	14	23
"ASCL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASCL4"	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0
"ASCL5"	0	0	0	1	0	0	0	5	2	0	0	6	0	0	0	0	0	0
"ASF1A"	546	964	1073	850	910	1266	283	697	608	189	1194	645	443	2084	1437	367	879	1432
"ASF1B"	27	5	4	11	11	105	9	3	1	1	10	12	15	5	8	10	17	98
"ASGR1"	11775	73	0	2	24	102	7661	133	0	2	2	23	6657	207	0	2	7	21
"ASGR2"	11921	15	0	3	38	32	6082	24	1	1	3	2	8179	3	0	1	33	20
"ASH1L"	3309	13351	5720	7703	7790	6607	3416	19085	6412	3871	8645	7416	3801	23027	8886	5736	7602	6771
"ASH1L-AS1"	0	4.92	6.54	6.17	6.21	0	7.77	17.65	4.5	4.83	17.67	17.57	8.22	15.65	11.03	3.23	4.68	12.4
"ASH2L"	869	1502	767	740	1111	1224	655	1893	714	364	955	720	933	2257	962	566	1066	1253
"ASIC1"	2	674	3	9	39	30	7	1279	5	19	7	24	5	909	13	22	27	11
"ASIC2"	1	731	0	2	6	1	0	1226	0	0	127	2	25	945	1	2	20	1
"ASIC3"	0	30	9	12	1	13	1	49	14	8	5	26	5	73	11	20	11	7
"ASIC4"	0	115	0	0	1	1	0	338	0	0	0	14	0	323	0	0	0	4
"ASIC5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASIP"	2	0	0	14	1	0	0	0	0	17	0	0	0	0	1	13	0	0
"ASL"	10010	451	90	209	2252	971	6623	602	81	177	1095	670	8807	469	129	219	2187	1438
"ASMT"	1	0	0	0	5	2	0	3	0	0	0	1	0	2	0	1	1	5
"ASMTL"	799	558	151	346	536	644	552	721	102	214	241	329	870	903	338	434	816	333
"ASMTL-AS1"	18	10	1	9	80	130	142	118	15	14	124	221	110	85	20	67	192	39
"ASNA1"	578	1400	560	427	1379	1016	205	1498	456	173	1199	374	511	1502	743	302	1428	1013
"ASNS"	31	2736	45	222	227	373	12	3228	48	101	291	453	71	2405	176	160	319	314
"ASNSD1"	1262	1976	2228	1049	1402	1449	1017	2149	1635	480	1431	1020	1211	3283	3168	601	1515	1390
"ASPA"	200	539	186	49	850	174	168	191	201	41	147	112	232	447	220	41	1072	68
"ASPDH"	1627	193	1	0	767	1	769	210	0	0	13	0	680	163	0	0	629	0
"ASPG"	1753	8	7	86	221	60	2359	15	3	29	14	64	2616	6	7	119	624	88
"ASPH"	5480	5345	7221	4796	5060	5159	2964	4313	4783	1721	6041	3724	4812	10948	10760	2514	4955	8173
"ASPHD1"	2	615	0	1	13	4	2	1143	0	0	2	12	2	716	0	1	25	2
"ASPHD2"	1	900	0	1	81	99	0	1121	0	7	847	28	7	1951	4	8	96	51
"ASPM"	98	15	15	62	26	307	183	16	7	33	16	79	196	4	12	48	32	239
"ASPN"	1169	31	179	1768	135	472	520	38	139	5853	609	651	3780	37	231	5223	302	244
"ASPRV1"	26	87	29	17	73	40	32	135	17	38	44	49	35	129	15	33	80	28
"ASPSCR1"	667	408	329	126	600	573	862	493	194	110	381	318	382	735	420	167	713	485
"ASRGL1"	16	1972	62	14	2728	477	45	2288	42	26	2897	443	26	1921	70	16	2230	462
"ASS1"	80525	1277	433	668	24138	1928	21578	2277	217	600	1634	2983	71312	1057	883	680	28660	2169
"ASTE1"	291	218	112	110	245	340	215	237	58	91	247	171	224	356	150	160	271	212
"ASTL"	0	13	0	0	0	0	0	5	0	0	1	0	0	4	0	0	0	1
"ASTN1"	9	9477	13	87	25	10	3	15458	1	57	4	105	67	6376	10	136	21	16
"ASTN2"	84	1415	114	180	370	148	153	2193	184	54	454	106	78	2608.12	147	153.04	602	76
"ASUN"	551	555	646	512	644	627	305	499	522	205	606	394	389	673	1050	310	637	634
"ASXL1"	910	1618	1143	925	1743	2645	1998	2469	1224	1061	2827	2964	1598	2476	1196	1130	2201	2424
"ASXL2"	1147	1304	1073	1820	2248	2485	1089	1789	1449	759	2874	1857	1113	2087	1563	1365	2516	2516
"ASXL3"	100	776	8	150	371	116	141	1417	5	58	555	62	49	138	9	133	390	101
"ASZ1"	0	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	0
"ATAD1"	1173	3338	1946	3666	2043	1864	915	3330	1849	811	2974	1210	1423	3787	3007	1810	1877	2100
"ATAD2"	742	735	151	1049	141	878	704	790	86	212	262	468	790	631	157	517	194	716
"ATAD2B"	691	534	619	654	837	1416	884	813	525	613	1138	1544	958	2006	682	797	921	1382
"ATAD3A"	421.44	377.48	253.97	174.53	338.12	466.25	545.54	614.85	326.49	169.78	391.94	319.9	303.2	515.37	523.15	148.18	363.18	379.3
"ATAD3B"	159.56	282.39	113.79	82.02	171.88	399.06	320.07	350.02	83.6	106.44	325.99	468.3	232.74	585.25	73.83	108.9	269.85	314.19
"ATAD3C"	23	30.12	2	7.01	83.23	59.11	63.85	33.04	4	1.89	108.11	42.03	33	39	8.02	3.01	97.1	76.19
"ATAD5"	59	68	22	34	56	216	82	153	50	55	97	156	101	356	39	59	98	202
"ATAT1"	38	346	19	34	62	82	50	613	12	22	49	94	47	450	23	27	94	55
"ATCAY"	2	9982	0	3	1	5	1	17652	0	1	1	1	3	4926	3	3	4	2
"ATE1"	1048	2013	892	1120	1134	996	807	2162	594	350	1169	796	901	2298	1330	699	1340	924
"ATF1"	473	236	1060	364	641	841	331	257	656	283	746	545	409	876	1322	328	747	866
"ATF2"	1849	4948	1424	1457	2665	2678	1067	4887	941	920	2634	1925	1834	6514	1850	1228	2904	2882
"ATF3"	176	151	234	148	2749	2124	130	132	165	314	747	1199	317	79	514	153	933	3284
"ATF4"	5058	3751	12932	2437	3549	5979	3543	4409	8098	1675	3109	5508	2416	5441	11683	1672	3654	6583
"ATF5"	7632	92	72	70	176	182	13570	121	57	50	96	114	4580	74	90	73	143	185
"ATF6"	2756.38	2855.02	1321	1626	3284	4025.46	2467	2805.48	1089.21	997	3871.03	2593.15	4026	4222.3	1858	1375	3704	4063.01
"ATF6B"	874	693	159	382.24	996	1801	535	1022.17	202.02	259	848	1035.61	878	1127.8	252	461.31	1194	1585.59
"ATF7"	630	704	602	999	1109	1736	890	904	989	793	950	1468	838	1654	1182	1038	1027	1633
"ATF7IP"	2043.37	2267.85	2382.89	3425.32	3292.32	3948.82	1954.69	2847.89	2717.06	1534.37	3714.3	4234.73	2533.6	6555.41	3650.9	2414.15	3184.46	3375.98
"ATF7IP2"	816	329	36	453	312	362	589	417	27	231	356	211	653	464	101	385	409	211
"ATG10"	188	310	124	154	238	202	100	239	99	46	340	145	91	283	236	99	208	291
"ATG12"	910	1473	730	639	560	1180	788	1678	442	380	662	843	946	2070	963	575	720	1013
"ATG13"	1268	3280	535	905	1640	1565	1537	4362	596	652	1651	800	1021	3067	806	933	1841	1251
"ATG14"	447	841	1263	1051	808	1005	417	876	712	385	1027	647	577	1496	1519	711	1002	1051
"ATG16L1"	709	1266	665	473	648	866	596	1566	534	272	694	609	528	1669	930	384	798	767
"ATG16L2"	137	235	69	115	206	848	386	446	77	187	211	1056	277	442	64	245	353	681
"ATG2A"	1073	943	425	343	1163	1113	1838	1459	611	263	939	809	2269	1423	547	337	1266	1242
"ATG2B"	2288	5972	2719	2103	2938	2837	2922	7459	2149	1101	3869	2453	4538	10064	3934	1738	3567	2864
"ATG3"	637	1173	365	604	1162	1251	327	895	278	246	1293	657	637	1360	592	392	1152	1391
"ATG4A"	574	178	956	583	630	647	416	193	555	187	637	455	533	379	1226	336	652	714
"ATG4B"	471	1269.64	467	391	882	875	671	1885	349	236	814	903	520	1629	531	287	1033	834
"ATG4C"	512	1206	216	342	534	549	191	764	215	176	561	310	383	2015	296	286	501	534
"ATG4D"	144	490	797	340	431	318	197	583	827	250	555	182	206	712	1062	297	650	337
"ATG5"	1217	1624	1076	661	1453	1430	569	1804	617	414	1503	1237	1067	1723	1340	526	1476	1493
"ATG7"	407	1460	385	329	741	1589	359	1930	258	218	829	1100	478	1080	466	314	814	1399
"ATG9A"	1357.56	2344.88	1902.21	1300.97	1105.56	1245.43	1687.7	3528.73	2269.81	697.14	988.09	1038.36	1352.57	2656.23	2934.13	1129.47	1191.81	1110.99
"ATG9B"	0	19	0	0	1	40	4	81	0	1	0	3	0	33	0	0	1	8
"ATHL1"	258	60	75	140	181	892	1045	69	38	138	711	3803	300	42	38	145	468	1118
"ATIC"	527	488	138	395	463	460	436	917	570	153	526	285	435	300	438	215	492	401
"ATL1"	10	6967	30	72	378	422	2	7808	15	64	282	262	31	4086	41	68	348	454
"ATL2"	1924	2334	3087	971	2041	1599	1604	2355	2343	423	2035	1313	1743	5816	4611	831	2088	1738
"ATL3"	1155	633	334	671	1341	2937	738	625	271	802	2287	2380	1380	743	452	876	1412	2736
"ATM"	3065	3526	1905	4132	4517	6093	3156	3921	1513	2123	5881	6096	3819	8669	2369	3044	4712	6269
"ATMIN"	2262	5988	2142	1871	2977	2410	1670	5590	1899	963	2900	1375	1766	6608	4072	1471	3338	1907
"ATN1"	304.04	1478.38	281.12	531.15	935.1	1355.29	560.14	3942.23	636.08	888.15	1148.81	1937.3	459.05	1939.81	391.11	710.07	1008.23	1266.38
"ATOH1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATOH7"	2	54	2	1	2	0	10	103	0	0	0	0	22	86	0	1	11	0
"ATOH8"	364	148	452	345	214	2359	1379	194	420	365	1093	812	437	99	534	398	222	1940
"ATOX1"	1270	413	103	240	765	377	481	571	89	133	476	323	726	379	224	154	719	417
"ATP10A"	12	311	17	75	405	1844	28	514	27	170	261	1348	50	365	35	95	527	1605
"ATP10B"	0	688	1	14	26	42	2	562	0	2	163	8	7	1348	0	1	19	10
"ATP10D"	515	396	146	692	1961	1708	445	518	127	918	3366	1392	661	537	181	940	2876	1669
"ATP11A"	970.04	1807.96	792	3721.93	3920.61	9471.69	1999.05	1649.4	1210.67	1908.37	4343.49	7693.38	1902.2	1442.57	1360	2465.06	5150.95	8859.14
"ATP11B"	1957	1669	1227	2329	2819	4128	1974	2211	774	1674	3523	2757	2682	5098	1594	1802	3235	3934
"ATP11C"	7101	306	219	367	1691	1185	4117	226	108	519	1659	995	3728	1202	294	528	1982	1099
"ATP12A"	1	10	0	0	142	215	7	15	0	0	462	7	0	5	0	0	471	38
"ATP13A1"	722	675	185	197	1153	1557	685	1323	221	229	1378	949	824	785	231	268	1363	1238
"ATP13A2"	99	4843	230	153	569	1273	149	7552	248	125	757	675	196	3358	296	195	807	946
"ATP13A3"	12907	3632	1444	2790	6847	7340	15046	4510	1009	3316	8102	3712	12235	7407	2296	4219	7743	6645
"ATP13A4"	41	1478	6	7	97	4267	40	1456	2	0	162	5051	89	1090	10	10	81	6740
"ATP13A5"	0	3	1	0	6	17	0	27	0	0	4	32	0	24	0	1	3	21
"ATP1A1"	5711	23567	1074	5004	77493	13729	4113	37933	970	3349	176190	8342	5799	27098	1181	4488	64280	16773
"ATP1A1OS"	98	49	20	78	235	99	71	37	14	13	93	35	58	41	20	65	219	88
"ATP1A2"	37	35489	44277	5173	206	580	21	32199.84	52902.9	3715	129	475	59	57596	65012	8130	366	239
"ATP1A3"	5	20743	3	9144	7	10	1	42469	7	2059	15	21	7	19666	6	5964	8	12
"ATP1A4"	0	1	9	1	0	2	0	25.16	5.07	2	0	4	0	12	5	2	3	0
"ATP1B1"	2386	23004	4586	5175	34932	3136	1822	27815	10964	1081	53736	967	4348	20813	9751	3215	28133	4682
"ATP1B2"	52	2411	15	73	249	81	34	4349	39	96	104	68	41	4203	31	94	160	24
"ATP1B3"	98	1626	215	397	1448	2698	49	2039	164	988	2501	1489	240	1978	316	541	1800	2536
"ATP1B4"	0	1	3674	1	0	0	0	1	1478	7	0	5	0	0	3383	5	0	0
"ATP2A1"	1	8	171192	4	1	28	27	9	164495	15	2	32	11	20	358212	8	6	0
"ATP2A2"	7206	24740	166810	94314	7198	9843	6552	36723	209197	11282	9084	5842	4846	24762	293279	38728	6925	9420
"ATP2A3"	88	49	35	92	249	1951	88	85	44	201	707	1097	155	2247	78	237	253	1274
"ATP2B1"	1534	31085	1823	791	2334	3508	983	39763	1643	692	2673	1934	1796	21186	3301	1033	2443	3081
"ATP2B2"	2666	23476	1667	6	21	12	2462	43041	2210	4	31	6	3033	29376	3251	10	30	8
"ATP2B3"	0	3080	0	0	50	5	0	5822	0	0	21	1	0	3513	2	2	26	1
"ATP2B4"	1525	9939	1810	8387	2416	10985	702	19807	1661	7990	3519	10748	3316	7570	3146	9800	3542	9757
"ATP2C1"	1623	5328	1312	2833	3712	5496	1222	6966	1395	1104	6037	2912	1881	6167	2591	1784	3838	6065
"ATP2C2"	2	98	1	0	108	1308	0	186	1	1	134	639	6	53	5	1	343	1507
"ATP4A"	0	5	0	0	0	0	0	13	0	0	0	0	0	144	1	0	0	0
"ATP4B"	0	0	0	0	2	0	1	1	0	0	52	0	0	0	0	0	7	2
"ATP5A1"	17523	22490	33448	55051	34872	10256	6637	22815	31063	6606	39541	5239	12544	27495	43190	20036	29463	9909
"ATP5B"	15541	21751	33449	52002	29611	10031	6050	23107	27346	6135	36308	5352	12281	29117	37577	17262	24999	10799
"ATP5C1"	4310	3388	5760	9622	6818	2391	1668	3494	4080	1694	6798	1459	2999	6219	7206	3204	5385	2578
"ATP5D"	1176	796	2384	950	1109	478	828	1309	2303	612	977	328	837	886	2109	769	1119	418
"ATP5E"	1857.71	1799.41	2481.68	2840.98	2637	2437.66	595.65	2292.63	1758.24	683.6	2583.45	1217.97	1431.51	1922	3687.73	949.77	2361	2449.71
"ATP5EP2"	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0
"ATP5F1"	4277	4601	6271	12395	6231	3190	1958	4620	5381	1816	6977	1584	2659	4942	7298	3673	5448	3077
"ATP5G1"	585	752	1478	1516	988	321	201	853	982	278	1129	184	383	602	1550	665	939	227
"ATP5G2"	3061	1967	6292	3011	4090	2652	1039	2232	3376	758	2588	1210	1874	2705	6137	1391	3718	2553
"ATP5G3"	4094	3025	4062	8098	6037	2028	1645	3777	3634	1210	6942	875	2726	3975	4923	2282	5670	1794
"ATP5H"	3122	3312	7308	6402	4730	2115	893	3573	4054	864	4347	1166	2145	3511	7715	1897	4467	2400
"ATP5I"	905	711	1323	2224	1116	508	277	1377	1138	457	1184	320	640	953	1943	562	856	549
"ATP5J"	2031	1201	2710	3909	1813	779	634	1232	2091	669	1667	437	1283	1302	3705	1110	1814	797
"ATP5J2"	1089	1237	1880	2018	1269	1081	394	1400	1018	281	1147	405	725	1479.99	1999	609	1495	1075
"ATP5J2-PTCD1"	0	0	0	13.57	48.58	0	0	0	0	0	36.3	13.42	0	22	9.53	0	16.66	0
"ATP5L"	2410	3167	4725	5120	4732	2759	895	3023	2663	985	4448	1399	1696	3751	4671	1765	4153	2937
"ATP5L2"	3	0	0	0	6	5	1	5	0	2	2	2	1	6	0	1	1	11
"ATP5O"	2860	3015	6739	8482	4398.55	1760	934	3083	5145.98	1297	4714	1199	1635	3120	7714	3045	3841	2035
"ATP5S"	165	167	324	190	228	141	68	136	180	41	137	70	105	154	423	102	211	184
"ATP5SL"	489	616	746	1324	933	683	367	754	737	361	639	465	463	478	836	736	874	741
"ATP6AP1"	1039	4819	672	1104	2924	5748	576	6777	783	485	4836	1552	1102	5664	858	889	3021	5463
